mid_date, v [m/yr], satellite, dt (days)
2007-06-05T08:28:13.739Z,785, Landsat 5, 89 
2019-03-29T20:44:19.000Z,563, Sentinel 2, 140 
2018-08-11T20:40:14.000Z,341, Sentinel 2, 40 
2012-10-20T20:26:43.283Z,1341, Landsat 7, 16 
2018-08-11T20:40:21.000Z,338, Sentinel 2, 50 
2018-10-16T08:54:29.999Z,434, Sentinel 2, 25 
2022-06-04T08:40:25.000Z,1059, Sentinel 2, 25 
2019-05-14T08:50:25.000Z,799, Sentinel 2, 75 
2016-09-21T20:33:37.885Z,159, Landsat 7, 64 
2004-03-28T20:20:04.998Z,512, Landsat 7, 64 
2018-04-14T08:50:55.000Z,326, Sentinel 2, 45 
2007-08-20T20:20:57.066Z,469, Landsat 7, 16 
2022-06-07T08:50:25.000Z,831, Sentinel 2, 115 
2022-03-26T20:52:51.000Z,783, Sentinel 2, 70 
2001-04-09T08:24:10.051Z,704, Landsat 7, 25 
2019-03-14T20:42:24.000Z,431, Sentinel 2, 30 
2022-05-05T20:51:59.000Z,903, Sentinel 2, 120 
2022-04-18T08:52:15.000Z,904, Sentinel 2, 95 
2002-01-02T20:19:38.079Z,644, Landsat 7, 64 
2021-11-19T08:53:45.000Z,351, Sentinel 2, 145 
2000-06-10T08:19:42.480Z,1144, Landsat 7, 55 
2020-09-17T20:53:41.000Z,1270, Sentinel 2, 100 
2019-06-15T20:50:29.000Z,965, Sentinel 2, 10 
2020-05-08T08:50:25.000Z,1100, Sentinel 2, 55 
2018-04-06T20:50:21.000Z,330, Sentinel 2, 10 
2018-03-02T20:54:06.000Z,288, Sentinel 2, 80 
2018-06-28T08:50:30.000Z,545, Sentinel 2, 155 
2009-05-25T08:24:28.827Z,1140, Landsat 7, 23 
2009-05-18T08:18:15.712Z,987, Landsat 7, 55 
2009-08-14T08:18:05.135Z,421, Landsat 7, 39 
2022-07-16T20:40:19.000Z,555, Sentinel 2, 70 
2018-01-26T20:52:59.000Z,304, Sentinel 2, 180 
2019-03-10T08:53:05.000Z,428, Sentinel 2, 45 
2018-12-07T20:51:51.000Z,281, Sentinel 2, 180 
2010-07-24T08:18:19.248Z,521, Landsat 5, 89 
2014-12-13T20:29:14.822Z,250, Landsat 7, 176 
2007-06-14T08:21:57.817Z,847, Landsat 5, 71 
2022-06-09T08:40:25.000Z,982, Sentinel 2, 15 
2022-06-03T15:48:58.012Z,1011, Sentinel 1, 12 
2022-04-10T08:41:45.000Z,857, Sentinel 2, 65 
2019-03-12T20:52:46.000Z,428, Sentinel 2, 30 
2018-10-08T20:53:29.000Z,300, Sentinel 2, 50 
2005-05-10T20:20:30.935Z,837, Landsat 7, 112 
2018-04-11T08:40:45.000Z,400, Sentinel 2, 35 
2022-03-31T20:52:21.000Z,800, Sentinel 2, 60 
2002-03-31T20:19:45.853Z,629, Landsat 7, 16 
1994-08-09T19:42:15.006Z,626, Landsat 5, 32 
2010-09-18T08:20:08.732Z,309, Landsat 7, 39 
2021-02-09T08:46:15.000Z,1952, Sentinel 2, 5 
2019-07-25T20:50:29.000Z,390, Sentinel 2, 50 
2022-08-26T08:52:55.000Z,398, Sentinel 2, 115 
2017-12-17T08:43:10.000Z,245, Sentinel 2, 155 
2021-02-04T08:46:45.000Z,1983, Sentinel 2, 15 
2018-11-27T20:53:24.000Z,267, Sentinel 2, 150 
2020-05-22T20:40:21.000Z,1354, Sentinel 2, 70 
2013-05-15T20:32:57.813Z,962, Landsat 7, 64 
2017-12-17T08:46:50.000Z,280, Sentinel 2, 85 
1994-08-21T07:45:01.914Z,325, Landsat 5, 41 
2019-05-13T20:40:29.000Z,765, Sentinel 2, 90 
2022-09-30T08:54:20.000Z,258, Sentinel 2, 115 
2020-05-18T08:50:25.000Z,1292, Sentinel 2, 45 
2000-09-21T08:24:36.797Z,455, Landsat 7, 23 
2022-05-17T20:40:19.000Z,1041, Sentinel 2, 10 
2021-09-02T20:51:59.000Z,321, Sentinel 2, 70 
2021-03-06T08:43:25.000Z,2359, Sentinel 2, 5 
2020-11-16T08:47:30.000Z,581, Sentinel 2, 5 
2016-04-03T20:43:49.000Z,393, Sentinel 2, 90 
2021-06-14T15:48:52.554Z,2066, Sentinel 1, 24 
2022-06-12T08:50:25.000Z,945, Sentinel 2, 35 
2018-04-06T08:41:55.000Z,445, Sentinel 2, 65 
2020-02-27T20:44:04.000Z,546, Sentinel 2, 50 
2018-06-30T20:50:29.000Z,520, Sentinel 2, 150 
2022-04-08T08:50:25.000Z,706, Sentinel 2, 15 
2021-07-29T20:51:10.999Z,999, Sentinel 2, 110 
2021-09-27T08:42:25.000Z,305, Sentinel 2, 15 
1995-04-26T07:36:18.735Z,674, Landsat 5, 25 
2017-04-01T20:53:26.000Z,492, Sentinel 2, 110 
2021-07-29T20:50:19.000Z,937, Sentinel 2, 80 
2019-07-05T08:40:25.000Z,595, Sentinel 2, 95 
2008-05-23T08:16:08.328Z,1435, Landsat 5, 87 
2018-08-24T20:50:51.000Z,253, Sentinel 2, 50 
2022-06-24T08:40:05.000Z,726, Sentinel 2, 145 
2018-12-05T08:55:25.000Z,281, Sentinel 2, 115 
2022-09-05T08:53:40.000Z,340, Sentinel 2, 125 
2018-11-29T20:42:31.000Z,280, Sentinel 2, 170 
2017-12-24T20:46:59.000Z,279, Sentinel 2, 80 
1993-05-05T07:56:28.477Z,906, Landsat 5, 41 
2022-05-23T08:50:30.000Z,992, Sentinel 2, 65 
2021-12-16T20:52:59.000Z,434, Sentinel 2, 160 
2019-09-21T08:51:45.000Z,386, Sentinel 2, 25 
2022-04-16T15:48:55.075Z,718, Sentinel 1, 12 
2022-07-04T20:50:24.000Z,691, Sentinel 2, 60 
